Column diameter (m),Liquid height (m),Sparger hole diameter (m),Density of gas (kg/m3),Viscosity of gas (Pa.s),Density of liquid (kg/m3),Viscosity of liquid (Pa.s),Surface tension of liquid (N/m),Superficial gas velocity (m/s),Gas holdup
0.100578701,1.148225115,0.000895832,1.182588744,1.81E-05,998,0.001051775,0.072,0.04861964,0.16455974
0.2,7.23,0.001,1.12,1.81E-05,998.943,0.001,0.072,0.064964083,0.131797659
0.385,0.28773848,0.002605,1.184,1.84E-05,1000,0.001,0.072,0.153887811,0.252643001
0.150653707,2.391400436,0.000598056,1.18,1.81E-05,995.3268534,0.001014019,0.070971908,0.190256719,0.448116509
0.385,0.55248636,0.002978748,1.180042504,1.82E-05,1000,0.000892158,0.072,0.260810127,0.282448651
0.385,0.330137338,0.025,1.183446297,1.84E-05,1000,0.000984912,0.072,0.126232862,0.142512175
0.385,1.68054431,0.014,1.184,1.84E-05,1000,0.001,0.072,0.079081488,0.141403822
0.385,2.114112861,0.005988672,1.183984897,1.84E-05,1000,0.000999245,0.071995922,0.027492819,0.084771681
0.385,0.311862408,0.006,1.184,1.84E-05,1000,0.001,0.072,0.078645085,0.189956589
0.187519685,1.35930118,0.00434498,1.16,1.81E-05,1113,0.021,0.048,0.180799132,0.194253789
0.19,2.5,0.001,1.18,1.81E-05,1178,0.0201,0.0632,0.038335246,0.073390428
0.1,2,0.005,1.18,1.81E-05,1000,0.001,0.0728,0.042977052,0.114885633
0.385,0.736968234,0.087,1.184,1.84E-05,1000,0.001,0.072,0.030853252,0.04291687
0.385,0.254834222,0.002066465,1.18,1.82E-05,1000,0.0008,0.07092,0.229189664,0.338120996
0.24,1.93344274,0.001,1.185,1.81E-05,997,0.00089,0.072,0.020008828,0.029363647
0.385,0.547859412,0.001465037,1.183720293,1.84E-05,1000,0.000992378,0.072,0.235770734,0.288469879
0.2,1.25,0.0003,1.185,1.81E-05,1000,0.001,0.072,0.009785506,0.048423826
0.110448454,0.969654078,0.009734858,1.18,1.81E-05,1279.234407,0.003743255,0.079414472,0.072642814,0.125142165
1,2,0.002,1.184,1.84E-05,1000,0.000891,0.072,0.02960976,0.063571986
0.385,2.170822023,0.025,1.18150335,1.83E-05,1000,0.000875168,0.071325905,0.004128788,0.060263756
1,2,0.019,1.184,1.84E-05,1000,0.000891,0.072,0.009966864,0.021926159
0.24,1.862287546,0.001,1.185,1.81E-05,997,0.00089,0.072,0.039949916,0.065106216
0.15,2.7,0.0005,1.2,1.81E-05,740,0.00086,0.0235,0.073659562,0.192135133
0.385,2.571063312,0.00312411,1.184,1.84E-05,1000,0.001,0.072,0.005668692,0.045991014
1,2,0.019,1.184,1.84E-05,1000,0.000891,0.072,0.020251005,0.034120121
0.385,0.635887401,0.025,1.18,1.82E-05,1000,0.000827819,0.071250165,0.159200225,0.174148958
0.15,1.5,0.002,2.193199709,1.81E-05,1113,0.021,0.048,0.09894779,0.183737271
0.15,1.1505,0.0007,1.165,1.76E-05,996,0.000901,0.072160887,0.087258217,0.207798701
0.385,0.595968092,0.000962468,1.184,1.84E-05,1000,0.001,0.072,0.09986299,0.226040717
0.385,0.903502035,0.003,1.180563073,1.82E-05,1000,0.000906344,0.072,0.15160523,0.217740224
0.385,0.311716449,0.006,1.184,1.84E-05,1000,0.001,0.072,0.153666544,0.219926478
0.385,0.671282331,0.001,1.184,1.84E-05,1000,0.001,0.072,0.023859146,0.128184375
0.385,1.044212181,0.087,1.184,1.84E-05,1000,0.001,0.072,0.052691908,0.063004514
0.385,0.340406722,0.001,1.181817213,1.83E-05,1000,0.000890861,0.071410648,0.018751575,0.115831231
0.385,1.466004875,0.002329829,1.184,1.84E-05,1000,0.001,0.072,0.180257564,0.238447428
0.16,2.360748052,0.001353295,1.18,1.81E-05,1000,0.001,0.072,0.145501647,0.213082257
0.385,1.558366548,0.087,1.184,1.84E-05,1000,0.001,0.072,0.234566962,0.19288641
0.385,0.854907479,0.001992977,1.184,1.84E-05,1000,0.001,0.072,0.204961832,0.259793407
0.2,1.25,0.0003,1.185,1.81E-05,1000,0.001,0.072,0.006438865,0.029976032
0.15,2.7,0.0005,1.2,1.81E-05,740,0.00086,0.0235,0.084202159,0.202798159
0.63,1.9,0.0025,1.18,1.81E-05,790,0.0029,0.028,0.294465896,0.382229369
0.385,0.695568076,0.025,1.184,1.84E-05,1000,0.001,0.072,0.057913965,0.096661691
0.1,1.22,0.003175,29.21,1.81E-05,998,0.001,0.072,0.063840609,0.217405936
0.385,1.892142618,0.006,1.184,1.84E-05,1000,0.001,0.072,0.171225706,0.236806039
0.385,1.544504748,0.005722792,1.184,1.84E-05,1000,0.001,0.072,0.176849551,0.197688914
0.122,2,0.001425249,1.14,1.81E-05,1030,0.0014,0.074,0.059948446,0.274385804
0.385,0.758941442,0.002513309,1.180973382,1.82E-05,1000,0.000848669,0.071182813,0.264131201,0.342904223
0.385,1.615474947,0.014,1.184,1.84E-05,1000,0.001,0.072,0.0978552,0.160825913
0.385,1.91724397,0.006,1.184,1.84E-05,1000,0.001,0.072,0.0991933,0.170026596
0.63,1.9,0.0025,1.18,1.81E-05,790,0.0029,0.028,0.013510211,0.091488043
0.305,1.952,0.00166,1.200548,1.81E-05,1027.586461,0.001436949,0.069087004,0.080494051,0.14839463
0.12,0.3,0.0007,1.185,1.81E-05,1000,0.001,0.072,0.087483992,0.500660198
0.14,0.4,0.0005,1.185,1.81E-05,997,0.00092,0.0708,0.037668017,0.235423539
0.385,1.832960266,0.014,1.184,1.84E-05,1000,0.001,0.072,0.02226894,0.071477967
0.385,0.34313467,0.0015,1.184,1.84E-05,1000,0.001,0.072,0.028355572,0.108733597
0.299063851,2.172617784,0.001794553,1.192416267,1.81E-05,998.1872299,0.001,0.072,0.242694287,0.270307616
0.1,0.648494281,0.01,0.958062624,2.15E-05,987.6120239,0.000321704,0.060765656,0.073119403,0.38240343
0.385,0.293570499,0.025,1.18296469,1.83E-05,1000,0.000971788,0.072,0.264966948,0.237476483
0.385,1.62239964,0.001,1.180155492,1.82E-05,1000,0.000807775,0.070961983,0.201617574,0.297691338
0.385,1.941613527,0.001037896,1.184,1.84E-05,1000,0.001,0.072,0.162344184,0.203997763
0.316,2.24,0.005,8.329040548,1.81E-05,897.3399754,0.000634197,0.028733998,0.089630484,0.41640546
0.385,0.65629042,0.025,1.182749942,1.83E-05,1000,0.000965936,0.072,0.126967116,0.14765628
0.24,1.681522819,0.001,1.185,1.81E-05,997,0.00089,0.072,0.08327187,0.15584405
0.385,1.125164682,0.001,1.181011797,1.83E-05,1000,0.000918571,0.072,0.203614755,0.269378765
0.385,0.281501747,0.00138237,1.183058962,1.84E-05,1000,0.000952948,0.07174592,0.152138947,0.268821698
0.385,1.506752136,0.014,1.184,1.84E-05,1000,0.001,0.072,0.155532519,0.217295192
0.3,3.2,0.005,5.74,1.81E-05,998,0.001,0.0717,0.144841123,0.315894312
1,2,0.002618,1.184,1.84E-05,1000,0.000891,0.072,0.018269912,0.034727524
0.385,1.25351708,0.005895899,1.183861198,1.84E-05,1000,0.000996218,0.072,0.099822731,0.185988327
0.15,1.1505,0.0007,1.165,1.76E-05,996,0.000901,0.072502649,0.151475408,0.277576896
0.29,1.6,0.0005,1.185,1.81E-05,998,0.0011,0.072,0.063041168,0.205609837
0.385,0.548812266,0.003,1.183100659,1.84E-05,1000,0.000975493,0.072,0.270600824,0.28728833
0.385,1.133490659,0.002941614,1.184,1.84E-05,1000,0.001,0.072,0.204579702,0.263990499
0.15,2.7,0.0005,6.06787197,1.81E-05,1462,0.000575,0.03,0.038272276,0.243726948
0.3,3.2,0.005,5.74,1.81E-05,998,0.001,0.0717,0.16584905,0.353031499
1,2,0.019,1.184,1.84E-05,1000,0.000891,0.072,0.019852535,0.03435694
0.14,0.4,0.0005,1.180095148,1.81E-05,1042.505231,0.011789723,0.072779067,0.080618467,0.427815503
0.385,1.599441186,0.05,1.184,1.84E-05,1000,0.001,0.072,0.101612905,0.169099327
0.16,2.450892018,0.001,1.185,1.81E-05,1000,0.001,0.072,0.008102598,0.019625647
0.15,1.1505,0.0007,1.165,1.76E-05,997.5237797,0.000897191,0.072,0.150945409,0.249143289
0.385,1.224903184,0.025,1.183376173,1.84E-05,1000,0.000983001,0.072,0.156491507,0.204605487
0.1,0.3,0.01,1.18,1.81E-05,998,0.001,0.072,0.022423906,0.063265404
0.095,0.85,0.003,1.18,1.81E-05,1203,0.00202,0.0381,0.03959491,0.100984468
0.385,2.138947019,0.0015,1.184,1.84E-05,1000,0.001,0.072,0.286527606,0.272194186
0.385,0.3604391,0.025,1.182852431,1.83E-05,1000,0.000942622,0.071690156,0.041996654,0.063828689
0.385,1.021095137,0.003,1.181739941,1.83E-05,1000,0.000938413,0.072,0.151754924,0.226300172
0.14,0.4,0.0005,1.185,1.81E-05,999,0.00091,0.0705,0.026038979,0.143372232
0.385,1.466114842,0.002326005,1.184,1.84E-05,1000,0.001,0.072,0.180279237,0.238390079
0.385,1.763077519,0.002258969,1.184,1.84E-05,1000,0.001,0.072,0.026372806,0.084082433
0.385,2.485298034,0.0015,1.184,1.84E-05,1000,0.001,0.072,0.012973629,0.077841857
0.385,1.426236175,0.025,1.18,1.82E-05,1000,0.000841289,0.07141002,0.234536249,0.25909638
0.3,3.2,0.005,5.74,1.81E-05,998,0.001,0.0717,0.310976084,0.496341763
0.159026762,1.417489756,0.002534594,1.180007058,1.81E-05,999.5945584,0.000985674,0.072,0.198246826,0.22159438
0.385,1.721627014,0.006,1.184,1.84E-05,1000,0.001,0.072,0.044580052,0.105651823
0.15,2.4,0.0005,1.18,1.81E-05,995.2697514,0.001012842,0.071034876,0.310562116,0.433618978
0.10823015,2,0.001,1.16503609,1.81E-05,1011.222932,0.001149639,0.073248917,0.013191259,0.065817632
0.1,1.050592705,0.013,1.18,1.81E-05,911,0.00202,0.0382,0.081588503,0.210080673
0.385,1.089724337,0.025,1.184,1.84E-05,1000,0.001,0.072,0.022640278,0.056501484
0.385,1.683597098,0.001364423,1.182915386,1.83E-05,1000,0.000970444,0.072,0.265813995,0.271142307
0.385,1.128603038,0.014,1.184,1.84E-05,1000,0.001,0.072,0.141756463,0.187644496
0.16,2.019907264,0.001,1.185,1.81E-05,1000,0.001,0.072,0.069759084,0.192038517
0.1,0.970230009,0.01,1.176142979,1.84E-05,1001.698082,0.000867906,0.071689227,0.038465049,0.075951014
0.385,1.964196321,0.00193313,1.184,1.84E-05,1000,0.001,0.072,0.264027038,0.271161394
0.095,0.85,0.003,1.18,1.81E-05,1032.730881,0.001378769,0.032476459,0.046526719,0.117572489
